what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1374005771451
java.specification.version,sysinfo,,,"1.7",1374005771451
java.vendor,sysinfo,,,"Oracle Corporation",1374005771451
java.version,sysinfo,,,"1.7.0_21",1374005771451
java.vm.info,sysinfo,,,"mixed mode, sharing",1374005771451
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1374005771451
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374005771451
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1374005771451
java.vm.specification.version,sysinfo,,,"1.7",1374005771451
java.vm.vendor,sysinfo,,,"Oracle Corporation",1374005771451
java.vm.version,sysinfo,,,"23.21-b01",1374005771451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374005771954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374005772235
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374005772343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374005772371
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374005773406
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1374005774574
